County,Office,DemVotes,Total_Dem_Votes,Total_Dem_Percent,RepVotes,Total_Rep_Votes,Total_Rep_Percent,population,DemVotes2016,Total_Dem_Votes2016,Total_Dem_Percent2016,RepVotes2016,Total_Rep_Votes2016,Total_Rep_Percent2016,population2016,GreenVotes,Total_Votes_Green,LibVotes,Total_Lib_Votes,Total_TP_ExLibGreen,TV_EXLIBGREEN,TV_THIRDPARTY,TP_TV2016_EXLIBGREEN,GreenVotes16,Total_Votes_Green16,LibVotes16,Total_Votes_Lib16,White_Total,White_VA,Hispanic_Total,Hispanic_VA,Black_Total,Black_VA,Asian_Total,Asian_VA,AI_Total,AI_VA,population2017,population2018,population2016,population2019
MORGAN,President,3876,1804352,0.554,9593,1364607,0.419,28984,3151,1338870,0.4816,8145,1202484,0.4325,28152,26,8986,151,52460,98,26575,88021,234,80,38437,350,144121,0.588674701,0.635011862,0.363541951,0.31903807,0.034775678,0.032647989,0.007621736,0.007954888,0.005385934,0.005347191,28266,28736,28152,28984
OTERO,President,3605,1804352,0.554,5756,1364607,0.419,18281,2943,1338870,0.4816,4928,1202484,0.4325,18203,16,8986,88,52460,111,26575,88021,204,57,38437,320,144121,0.548571024,0.586096257,0.420309289,0.383641388,0.013485743,0.012511216,0.009021384,0.009561067,0.00861256,0.008190073,18367,18377,18203,18281
OURAY,President,2365,1804352,0.554,1577,1364607,0.419,4934,1697,1338870,0.4816,1351,1202484,0.4325,4778,12,8986,46,52460,20,26575,88021,51,61,38437,150,144121,0.91293079,0.925809189,0.064532459,0.053630743,0.006378326,0.004921809,0.010914024,0.010570978,0.005244401,0.005067281,4799,4808,4778,4934
PARK,President,4903,1804352,0.554,6991,1364607,0.419,18844,3421,1338870,0.4816,6135,1202484,0.4325,17338,56,8986,238,52460,103,26575,88021,183,169,38437,509,144121,0.902769512,0.911686715,0.06281351,0.055865135,0.012609463,0.010766945,0.011939934,0.011823783,0.009867582,0.009857423,17882,18525,17338,18844
PHILLIPS,President,486,1804352,0.554,1958,1364607,0.419,4278,436,1338870,0.4816,1791,1202484,0.4325,4286,7,8986,24,52460,10,26575,88021,36,9,38437,60,144121,0.779729287,0.816197941,0.202028008,0.163915783,0.008266592,0.007653296,0.006603906,0.007991394,0.003372207,0.004241586,4294,4275,4286,4278
PITKIN,President,8989,1804352,0.554,2780,1364607,0.419,17756,7333,1338870,0.4816,2550,1202484,0.4325,17972,41,8986,94,52460,53,26575,88021,80,186,38437,374,144121,0.867213982,0.877802279,0.099355834,0.08784848,0.012033064,0.012127894,0.01940944,0.020154093,0.00198768,0.002067255,17972,17947,17972,17756
PROWERS,President,1458,1804352,0.554,4008,1364607,0.419,12122,1186,1338870,0.4816,3531,1202484,0.4325,11934,9,8986,39,52460,47,26575,88021,114,30,38437,155,144121,0.591200007,0.642412015,0.386007218,0.334992154,0.009604347,0.008764851,0.00444294,0.004472091,0.008745489,0.009358888,11992,12051,11934,12122
PUEBLO,President,43772,1804352,0.554,42252,1364607,0.419,168110,35875,1338870,0.4816,36265,1202484,0.4325,164459,205,8986,1200,52460,872,26575,88021,1492,942,38437,4072,144121,0.52806264,0.561502626,0.431126321,0.398085164,0.021863736,0.021300439,0.010599699,0.010659749,0.008347605,0.008452023,165962,167129,164459,168110
RIO BLANCO,President,561,1804352,0.554,3061,1364607,0.419,6307,436,1338870,0.4816,2791,1202484,0.4325,6438,3,8986,42,52460,24,26575,88021,89,16,38437,118,144121,0.862239419,0.869671233,0.10078964,0.092947327,0.017293114,0.017109913,0.008338598,0.009154217,0.011339229,0.01111731,6351,6333,6438,6307
RIO GRANDE,President,2495,1804352,0.554,3660,1364607,0.419,11238,2001,1338870,0.4816,3085,1202484,0.4325,11335,11,8986,66,52460,73,26575,88021,155,61,38437,232,144121,0.534759786,0.564520647,0.437081851,0.410210322,0.009208185,0.007796634,0.005640569,0.004738673,0.013309609,0.012733724,11282,11238,11335,11238
ROUTT,President,10582,1804352,0.554,5925,1364607,0.419,25652,7600,1338870,0.4816,5230,1202484,0.4325,24711,37,8986,236,52460,96,26575,88021,228,206,38437,722,144121,0.903750893,0.918322758,0.071262672,0.058543873,0.01133192,0.010389092,0.01028968,0.0092115,0.003364835,0.003532778,25187,25506,24711,25652
SAGUACHE,President,1884,1804352,0.554,1413,1364607,0.419,6824,1417,1338870,0.4816,1147,1202484,0.4325,6425,13,8986,39,52460,40,26575,88021,50,129,38437,92,144121,0.603902868,0.642098311,0.355175702,0.321237853,0.013630695,0.009283895,0.00939036,0.009736768,0.017900374,0.017643174,6646,6853,6425,6824
SAN JUAN,President,342,1804352,0.554,202,1364607,0.419,726,265,1338870,0.4816,215,1202484,0.4325,690,2,8986,7,52460,9,26575,88021,5,4,38437,17,144121,0.854874652,0.867990654,0.122841226,0.112817089,0.007799443,0.004672897,0.00724234,0.005841121,0.00724234,0.008678238,712,762,690,726
SAN MIGUEL,President,3924,1804352,0.554,1136,1364607,0.419,8174,2975,1338870,0.4816,1033,1202484,0.4325,8019,14,8986,52,52460,21,26575,88021,39,128,38437,154,144121,0.864889357,0.88173632,0.1090633,0.092680674,0.009625393,0.00848149,0.009723362,0.010605711,0.006698588,0.006495805,8036,8173,8019,8174
SEDGWICK,President,301,1804352,0.554,1121,1364607,0.419,2229,267,1338870,0.4816,1015,1202484,0.4325,2398,1,8986,8,52460,15,26575,88021,33,21,38437,28,144121,0.810237872,0.839578454,0.160797965,0.131147541,0.014058107,0.013047842,0.00821172,0.008364001,0.006694337,0.007862161,2312,2266,2398,2229
SUMMIT,President,12631,1804352,0.554,5322,1364607,0.419,30983,9557,1338870,0.4816,5100,1202484,0.4325,30566,60,8986,353,52460,113,26575,88021,215,302,38437,1000,144121,0.826601775,0.855531698,0.144125802,0.116412401,0.012800626,0.012600294,0.01383799,0.012728369,0.002633807,0.002727238,30828,30813,30566,30983
TELLER,President,5278,1804352,0.554,11241,1364607,0.419,25355,3603,1338870,0.4816,9745,1202484,0.4325,24027,25,8986,267,52460,128,26575,88021,257,165,38437,674,144121,0.895675936,0.905564095,0.069553319,0.061851389,0.012618098,0.011294311,0.011253766,0.010716707,0.010898882,0.010573499,24646,25094,24027,25355
WASHINGTON,President,369,1804352,0.554,2595,1364607,0.419,4742,296,1338870,0.4816,2299,1202484,0.4325,4669,5,8986,25,52460,14,26575,88021,45,11,38437,82,144121,0.873441449,0.894757829,0.10463353,0.086713807,0.014974726,0.013530757,0.003833193,0.002897549,0.003117102,0.002100058,4756,4721,4669,4742
WELD,President,66060,1804352,0.554,96145,1364607,0.419,323763,46519,1338870,0.4816,76651,1202484,0.4325,294867,340,8986,2895,52460,1534,26575,88021,3420,1353,38437,7487,144121,0.66052017,0.693589902,0.299461504,0.267892312,0.014822496,0.013373364,0.019098109,0.018716881,0.006097721,0.006427541,305088,314169,294867,323763
YUMA,President,785,1804352,0.554,4107,1364607,0.419,10063,726,1338870,0.4816,3850,1202484,0.4325,10077,2,8986,52,52460,35,26575,88021,81,16,38437,118,144121,0.74946569,0.792778544,0.236239649,0.194162814,0.006968399,0.004812502,0.003091543,0.00358234,0.004234719,0.004663801,9990,9973,10077,10063
